x,y,z,Spindle power/W,Cutting power/W
114.201,172.994,22.808,302.343744,183.398448
114.587,174.018,22.779,302.343744,183.398448
114.587,174.018,22.779,301.464864,182.519568
115.097,174.897,22.753,301.464864,182.519568
115.097,174.897,22.753,318.164064,199.218768
115.87,175.684,22.724,318.164064,199.218768
115.87,175.684,22.724,299.121072,180.175776
116.704,176.257,22.697,299.121072,180.175776
116.704,176.257,22.697,301.171872,182.226576
117.698,176.717,22.667,301.171872,182.226576
117.698,176.717,22.667,310.83984,191.894544
118.684,176.973,22.641,310.83984,191.894544
118.684,176.973,22.641,304.98048,186.035184
119.785,176.976,22.612,304.98048,186.035184
119.785,176.976,22.612,302.636736,183.69144
120.78,176.803,22.585,302.636736,183.69144
120.78,176.803,22.585,310.253904,191.308608
121.816,176.44,22.557,310.253904,191.308608
121.816,176.44,22.557,303.808608,184.863312
122.682,175.907,22.53,303.808608,184.863312
122.682,175.907,22.53,306.445296,187.5
123.479,175.144,22.501,306.445296,187.5
123.479,175.144,22.501,314.062512,195.117216
124.05,174.308,22.474,314.062512,195.117216
124.05,174.308,22.474,301.464864,182.519568
124.509,173.314,22.446,301.464864,182.519568
124.509,173.314,22.446,311.132832,192.187536
124.774,172.332,22.419,311.132832,192.187536
124.774,172.332,22.419,315.527328,196.582032
124.781,171.229,22.39,315.527328,196.582032
124.781,171.229,22.39,314.355456,195.41016
124.605,170.234,22.363,314.355456,195.41016
124.605,170.234,22.363,308.78904,189.843744
124.235,169.202,22.334,308.78904,189.843744
124.235,169.202,22.334,309.082032,190.136736
123.713,168.328,22.307,309.082032,190.136736
123.713,168.328,22.307,316.6992,197.753904
122.943,167.542,22.279,316.6992,197.753904
122.943,167.542,22.279,306.738288,187.792992
122.13,166.94,22.252,306.738288,187.792992
122.13,166.94,22.252,311.132832,192.187536
121.127,166.498,22.223,311.132832,192.187536
121.127,166.498,22.223,311.718768,192.773472
120.147,166.23,22.196,311.718768,192.773472
120.147,166.23,22.196,308.496096,189.5508
119.043,166.213,22.168,308.496096,189.5508
119.043,166.213,22.168,320.507808,201.562512
118.048,166.392,22.141,320.507808,201.562512
118.048,166.392,22.141,303.515616,184.57032
117.017,166.763,22.112,303.515616,184.57032
117.017,166.763,22.112,308.203104,189.257808
116.135,167.272,22.086,308.203104,189.257808
116.135,167.272,22.086,315.527328,196.582032
